domain,cname,ip,asn,prefix,first_seen
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.143,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.134,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.135,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.152,AS20940,184.87.193.0/24,2026-08-25 07:41:18
p19-novel-sign.fizzopic.org,bytedance.map.fastly.net,146.75.46.73,AS54113,146.75.44.0/22,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,58.27.0.202,AS4788,58.27.0.0/18,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,58.27.0.209,AS4788,58.27.0.0/18,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.143,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.145,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.154,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.146,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.144,AS20940,23.215.35.0/24,2026-08-25 07:41:18
