domain,cname,ip,asn,prefix,first_seen
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.163,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.165,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.166,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v19-ml.melolostatic.com,0rtt-ipv4.video.bytedance.map.fastly.net,199.232.114.13,AS54113,199.232.112.0/22,2026-08-25 07:41:18
v19-ml.melolostatic.com,0rtt-ipv4.video.bytedance.map.fastly.net,146.75.46.13,AS54113,146.75.44.0/22,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.133,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.134,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.135,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.137,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.138,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.139,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.141,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.142,AS20940,23.215.35.0/24,2026-08-25 07:41:18
